"05634: Jegere, etter kjønn, statistikkvariabel og intervall (år)"

"kjønn";"Jegere som deltok på en eller flere former for jakt 2020-2021";"Jegere som deltok på en eller flere former for jakt 2021-2022";"Jegere som deltok på en eller flere former for jakt 2022-2023";"Jegere som deltok på en eller flere former for jakt 2023-2024"
"Kvinner";11560;11330;11540;11270
"Menn";128610;125300;122280;118860
